tam1 tiempo1
500 0.000257
1000 0.00086
1500 0.001629
2000 0.003048
2500 0.004798
3000 0.006845
3500 0.009873
4000 0.013531
4500 0.01849
5000 0.023214
5500 0.029533
6000 0.038643
6500 0.043853
7000 0.052609
7500 0.060834
8000 0.071072
8500 0.081527
9000 0.092729
9500 0.106695
10000 0.117874
10500 0.130287
11000 0.145244
11500 0.166105
12000 0.18303
12500 0.202212
13000 0.210709
13500 0.232265
14000 0.249194
14500 0.269012
15000 0.289272
15500 0.310026
16000 0.331931
16500 0.356023
17000 0.377553
17500 0.402689
18000 0.425215
18500 0.453566
19000 0.479456
19500 0.512967
20000 0.53605
20500 0.564939
21000 0.592403
21500 0.620436
22000 0.651987
22500 0.690826
23000 0.715137
23500 0.782338
24000 0.78775
24500 0.819891
25000 0.849355
25500 0.93298
26000 0.935616
26500 0.97742
27000 1.00858
27500 1.05983
28000 1.08356
28500 1.12757
29000 1.17376
29500 1.21079
30000 1.25118
30500 1.31957
31000 1.37814
31500 1.4495
32000 1.4584
32500 1.48425
33000 1.53568
33500 1.61301
34000 1.6451
34500 1.71179
35000 1.85684
35500 1.85007
36000 1.8382
36500 1.89757
37000 1.9434
37500 2.0127
38000 2.09344
38500 2.14234
39000 2.19633
39500 2.24344
40000 2.29667
40500 2.37019
41000 2.42478
41500 2.49233
42000 2.54426
42500 2.59768
43000 2.67061
43500 2.7151
44000 2.79302
44500 2.84759
45000 2.92738
45500 2.99257
46000 3.06577
46500 3.13016
47000 3.21372
47500 3.31022
48000 3.34764
48500 3.54733
49000 3.73735
49500 3.57758
50000 3.73716
