tam2 tiempo2
1000 8.3e-05
2000 0.000162
3000 0.000282
4000 0.000368
5000 0.000493
6000 0.000443
7000 0.000697
8000 0.000659
9000 0.000825
10000 0.000766
11000 0.000879
12000 0.00103
13000 0.001084
14000 0.001207
15000 0.00125
16000 0.001432
17000 0.001599
18000 0.001592
19000 0.002019
20000 0.001771
21000 0.001858
22000 0.00188
23000 0.001987
24000 0.002073
25000 0.00212
26000 0.002267
27000 0.00241
28000 0.002501
29000 0.002556
30000 0.002653
31000 0.002744
32000 0.002792
33000 0.002928
34000 0.003006
35000 0.003228
36000 0.003246
37000 0.003476
38000 0.003416
39000 0.003527
40000 0.003627
41000 0.003721
42000 0.003779
43000 0.003902
44000 0.004002
45000 0.004087
46000 0.004433
47000 0.004402
48000 0.004405
49000 0.004578
50000 0.004658
51000 0.004744
52000 0.004809
53000 0.004931
54000 0.005099
55000 0.005073
56000 0.005241
57000 0.005246
58000 0.005614
59000 0.005694
60000 0.005615
61000 0.005958
62000 0.005873
63000 0.005987
64000 0.006073
65000 0.006386
66000 0.006391
67000 0.006569
68000 0.006468
69000 0.006557
70000 0.006944
71000 0.006932
72000 0.007044
73000 0.007161
74000 0.007278
75000 0.007394
76000 0.007519
77000 0.007514
78000 0.007508
79000 0.007676
80000 0.007809
81000 0.007818
82000 0.008047
83000 0.008156
84000 0.008348
85000 0.008527
86000 0.008656
87000 0.008558
88000 0.008705
89000 0.008741
90000 0.008982
91000 0.008901
92000 0.00901
93000 0.009363
94000 0.009382
95000 0.009269
96000 0.009556
97000 0.009536
98000 0.009619
99000 0.009896
100000 0.009879
