tam3 tiempo3
500 0.000143
1000 0.000569
1500 0.001026
2000 0.001863
2500 0.002895
3000 0.004247
3500 0.005594
4000 0.007802
4500 0.009453
5000 0.011883
5500 0.014371
6000 0.016896
6500 0.019351
7000 0.022725
7500 0.026356
8000 0.030059
8500 0.033202
9000 0.037198
9500 0.043093
10000 0.052341
10500 0.053547
11000 0.056138
11500 0.061325
12000 0.066832
12500 0.072352
13000 0.078649
13500 0.086121
14000 0.090929
14500 0.097785
15000 0.104933
15500 0.11338
16000 0.122101
16500 0.128237
17000 0.136722
17500 0.143563
18000 0.153137
18500 0.161195
19000 0.170203
19500 0.177288
20000 0.186831
20500 0.196105
21000 0.206415
21500 0.218652
22000 0.224421
22500 0.235614
23000 0.245438
23500 0.25681
24000 0.264954
24500 0.276527
25000 0.300105
25500 0.309828
26000 0.311919
26500 0.310757
27000 0.333549
27500 0.317712
28000 0.311349
28500 0.379505
29000 0.391195
29500 0.41116
30000 0.419279
30500 0.434091
31000 0.447175
31500 0.461115
32000 0.476923
32500 0.494381
33000 0.501866
33500 0.517914
34000 0.527073
34500 0.551478
35000 0.55752
35500 0.583248
36000 0.598572
36500 0.61684
37000 0.6299
37500 0.646989
38000 0.666147
38500 0.683218
39000 0.683732
39500 0.718371
40000 0.741555
40500 0.75574
41000 0.777205
41500 0.79387
42000 0.817716
42500 0.816171
43000 0.850916
43500 0.883657
44000 0.902034
44500 0.922641
45000 0.921069
45500 0.956494
46000 0.912737
46500 0.999533
47000 1.01471
47500 0.999926
48000 1.06191
48500 1.09458
49000 1.11203
49500 1.12541
50000 1.16191
