tam4 tiempo4
1000 4.0184e-05
2000 0.000108057
3000 0.000206231
4000 0.000245334
5000 0.00033783
6000 0.000442923
7000 0.000454358
8000 0.000530536
9000 0.000621429
10000 0.00071933
11000 0.000896
12000 0.001014
13000 0.00091
14000 0.001024
15000 0.001087
16000 0.001267
17000 0.001315
18000 0.001428
19000 0.001496
20000 0.001594
21000 0.001708
22000 0.001858
23000 0.001971
24000 0.002101
25000 0.002228
26000 0.002029
27000 0.002095
28000 0.002145
29000 0.002244
30000 0.002353
31000 0.002446
32000 0.002537
33000 0.00259
34000 0.002691
35000 0.002823
36000 0.002898
37000 0.003018
38000 0.003153
39000 0.00334
40000 0.003342
41000 0.003525
42000 0.003603
43000 0.003692
44000 0.003816
45000 0.003959
46000 0.00455
47000 0.004397
48000 0.004455
49000 0.004775
50000 0.004771
51000 0.004577
52000 0.00452
53000 0.004304
54000 0.004209
55000 0.004416
56000 0.004412
57000 0.004511
58000 0.004812
59000 0.004795
60000 0.004832
61000 0.004946
62000 0.005027
63000 0.005153
64000 0.00525
65000 0.005365
66000 0.005506
67000 0.005726
68000 0.005828
69000 0.00585
70000 0.005989
71000 0.006122
72000 0.006136
73000 0.006423
74000 0.00638
75000 0.006444
76000 0.006889
77000 0.00743
78000 0.00748
79000 0.007604
80000 0.007849
81000 0.007772
82000 0.007788
83000 0.008028
84000 0.008437
85000 0.008381
86000 0.008802
87000 0.008417
88000 0.008595
89000 0.008793
90000 0.008863
91000 0.009172
92000 0.009283
93000 0.009533
94000 0.009582
95000 0.009906
96000 0.009842
97000 0.010021
98000 0.00963
99000 0.009897
100000 0.009614
